Gross/ Net;Economic activity;Time period;Average monthly wages
Gross;TOTAL TOTAL;November 2018;1029
Gross;TOTAL TOTAL;December 2018;1077
Gross;TOTAL TOTAL;January 2019;1029
Gross;TOTAL TOTAL;February 2019;1007
Gross;TOTAL TOTAL;March 2019;1060
Gross;TOTAL TOTAL;April 2019;1075
Gross;TOTAL TOTAL;May 2019;1078
Gross;TOTAL TOTAL;June 2019;1074
Gross;TOTAL TOTAL;July 2019;1111
Gross;TOTAL TOTAL;August 2019;1079
Gross;TOTAL TOTAL;September 2019;1059
Gross;TOTAL TOTAL;October 2019;1089
Gross;TOTAL TOTAL;November 2019;1101
Gross;TOTAL TOTAL;December 2019;1152
Gross;TOTAL TOTAL;January 2020;1104
Gross;TOTAL TOTAL;February 2020;1084
Gross;TOTAL TOTAL;March 2020;1117
Gross;TOTAL TOTAL;April 2020;1121
Gross;TOTAL TOTAL;May 2020;1107
Gross;TOTAL TOTAL;June 2020;1139
Gross;TOTAL TOTAL;July 2020;1186
Gross;TOTAL TOTAL;August 2020;1147
Gross;TOTAL TOTAL;September 2020;1143
Gross;TOTAL TOTAL;October 2020;1149
Gross;TOTAL TOTAL;November 2020;1166
Gross;TOTAL TOTAL;December 2020;1249
Gross;TOTAL TOTAL;January 2021;1191
Gross;TOTAL TOTAL;February 2021;1189
Gross;TOTAL TOTAL;March 2021;1259
Gross;TOTAL TOTAL;April 2021;1248
Gross;TOTAL TOTAL;May 2021;1245
Gross;TOTAL TOTAL;June 2021;1279
Gross;TOTAL TOTAL;July 2021;1322
Gross;TOTAL TOTAL;August 2021;1303
Gross;TOTAL TOTAL;September 2021;1283
Gross;TOTAL TOTAL;October 2021;1273
Gross;TOTAL TOTAL;November 2021;1301
Gross;TOTAL TOTAL;December 2021;1435
Gross;TOTAL TOTAL;January 2022;1278
Gross;TOTAL TOTAL;February 2022;1245
Gross;TOTAL TOTAL;March 2022;1382
Gross;TOTAL TOTAL;April 2022;1343
Gross;TOTAL TOTAL;May 2022;1360
Gross;TOTAL TOTAL;June 2022;1382
Gross;TOTAL TOTAL;July 2022;1380
Gross;TOTAL TOTAL;August 2022;1404
Gross;TOTAL TOTAL;September 2022;1371
Gross;TOTAL TOTAL;October 2022;1375
Gross;TOTAL TOTAL;November 2022;1413
Gross;TOTAL TOTAL;December 2022;1540
Gross;TOTAL TOTAL;January 2023;1435
Gross;TOTAL TOTAL;February 2023;1426
Gross;TOTAL TOTAL;March 2023;1525
Gross;TOTAL TOTAL;April 2023;1482
Gross;TOTAL TOTAL;May 2023;1548
Gross;TOTAL TOTAL;June 2023;1545
Gross;TOTAL TOTAL;July 2023;1538
Gross;TOTAL TOTAL;August 2023;1578
Gross;TOTAL TOTAL;September 2023;1530
Gross;TOTAL TOTAL;October 2023;1558
Gross;TOTAL TOTAL;November 2023;1581
Gross;TOTAL TOTAL;December 2023;1692
Gross;TOTAL TOTAL;January 2024;1606
Gross;TOTAL TOTAL;February 2024;1595
Gross;TOTAL TOTAL;March 2024;1669
Gross;TOTAL TOTAL;April 2024;1660
Gross;TOTAL TOTAL;May 2024;1688
Gross;TOTAL TOTAL;June 2024;1665
Gross;TOTAL TOTAL;July 2024;1739
Gross;TOTAL TOTAL;August 2024;1705
Gross;TOTAL TOTAL;September 2024;1665
Gross;TOTAL TOTAL;October 2024;1699
Gross;TOTAL TOTAL;November 2024;1698
Gross;TOTAL TOTAL;December 2024;1837
Gross;A Agriculture, forestry and fishing;January 2005;283
Gross;A Agriculture, forestry and fishing;February 2005;261
Gross;A Agriculture, forestry and fishing;March 2005;294
Gross;A Agriculture, forestry and fishing;April 2005;282
Gross;A Agriculture, forestry and fishing;May 2005;287
Gross;A Agriculture, forestry and fishing;June 2005;301
Gross;A Agriculture, forestry and fishing;July 2005;313
Gross;A Agriculture, forestry and fishing;August 2005;308
Gross;A Agriculture, forestry and fishing;September 2005;311
Gross;A Agriculture, forestry and fishing;October 2005;311
Gross;A Agriculture, forestry and fishing;November 2005;319
Gross;A Agriculture, forestry and fishing;December 2005;378
Gross;A Agriculture, forestry and fishing;January 2006;332
Gross;A Agriculture, forestry and fishing;February 2006;329
Gross;A Agriculture, forestry and fishing;March 2006;333
Gross;A Agriculture, forestry and fishing;April 2006;329
Gross;A Agriculture, forestry and fishing;May 2006;341
Gross;A Agriculture, forestry and fishing;June 2006;361
Gross;A Agriculture, forestry and fishing;July 2006;371
Gross;A Agriculture, forestry and fishing;August 2006;362
Gross;A Agriculture, forestry and fishing;September 2006;355
Gross;A Agriculture, forestry and fishing;October 2006;370
Gross;A Agriculture, forestry and fishing;November 2006;402
Gross;A Agriculture, forestry and fishing;December 2006;461
Gross;A Agriculture, forestry and fishing;January 2007;452
Gross;A Agriculture, forestry and fishing;February 2007;441
Gross;A Agriculture, forestry and fishing;March 2007;462
Gross;A Agriculture, forestry and fishing;April 2007;453
Gross;A Agriculture, forestry and fishing;May 2007;474
Gross;A Agriculture, forestry and fishing;June 2007;507
Gross;A Agriculture, forestry and fishing;July 2007;524
Gross;A Agriculture, forestry and fishing;August 2007;518
Gross;A Agriculture, forestry and fishing;September 2007;504
Gross;A Agriculture, forestry and fishing;October 2007;530
Gross;A Agriculture, forestry and fishing;November 2007;536
Gross;A Agriculture, forestry and fishing;December 2007;588
Gross;A Agriculture, forestry and fishing;January 2008;573
Gross;A Agriculture, forestry and fishing;February 2008;555
Gross;A Agriculture, forestry and fishing;March 2008;546
Gross;A Agriculture, forestry and fishing;April 2008;562
Gross;A Agriculture, forestry and fishing;May 2008;579
Gross;A Agriculture, forestry and fishing;June 2008;613
Gross;A Agriculture, forestry and fishing;July 2008;632
Gross;A Agriculture, forestry and fishing;August 2008;594
Gross;A Agriculture, forestry and fishing;September 2008;615
Gross;A Agriculture, forestry and fishing;October 2008;578
Gross;A Agriculture, forestry and fishing;November 2008;571
Gross;A Agriculture, forestry and fishing;December 2008;605
Gross;A Agriculture, forestry and fishing;January 2009;559
Gross;A Agriculture, forestry and fishing;February 2009;547
Gross;A Agriculture, forestry and fishing;March 2009;562
Gross;A Agriculture, forestry and fishing;April 2009;553
Gross;A Agriculture, forestry and fishing;May 2009;547
Gross;A Agriculture, forestry and fishing;June 2009;558
Gross;A Agriculture, forestry and fishing;July 2009;567
Gross;A Agriculture, forestry and fishing;August 2009;568
Gross;A Agriculture, forestry and fishing;September 2009;566
Gross;A Agriculture, forestry and fishing;October 2009;548
Gross;A Agriculture, forestry and fishing;November 2009;549
Gross;A Agriculture, forestry and fishing;December 2009;578
Gross;A Agriculture, forestry and fishing;January 2010;549
Gross;A Agriculture, forestry and fishing;February 2010;548
Gross;A Agriculture, forestry and fishing;March 2010;577
Gross;A Agriculture, forestry and fishing;April 2010;566
Gross;A Agriculture, forestry and fishing;May 2010;577
Gross;A Agriculture, forestry and fishing;June 2010;576
Gross;A Agriculture, forestry and fishing;July 2010;595
Gross;A Agriculture, forestry and fishing;August 2010;617
Gross;A Agriculture, forestry and fishing;September 2010;599
Gross;A Agriculture, forestry and fishing;October 2010;611
Gross;A Agriculture, forestry and fishing;November 2010;600
Gross;A Agriculture, forestry and fishing;December 2010;660
Gross;A Agriculture, forestry and fishing;January 2011;593
Gross;A Agriculture, forestry and fishing;February 2011;585
Gross;A Agriculture, forestry and fishing;March 2011;622
Gross;A Agriculture, forestry and fishing;April 2011;641
Gross;A Agriculture, forestry and fishing;May 2011;622
Gross;A Agriculture, forestry and fishing;June 2011;608
Gross;A Agriculture, forestry and fishing;July 2011;663
Gross;A Agriculture, forestry and fishing;August 2011;661
Gross;A Agriculture, forestry and fishing;September 2011;647
Gross;A Agriculture, forestry and fishing;October 2011;668
Gross;A Agriculture, forestry and fishing;November 2011;641
Gross;A Agriculture, forestry and fishing;December 2011;698
Gross;A Agriculture, forestry and fishing;January 2012;608
Gross;A Agriculture, forestry and fishing;February 2012;595
Gross;A Agriculture, forestry and fishing;March 2012;623
Gross;A Agriculture, forestry and fishing;April 2012;645
Gross;A Agriculture, forestry and fishing;May 2012;630
Gross;A Agriculture, forestry and fishing;June 2012;625
Gross;A Agriculture, forestry and fishing;July 2012;674
Gross;A Agriculture, forestry and fishing;August 2012;679
Gross;A Agriculture, forestry and fishing;September 2012;633
Gross;A Agriculture, forestry and fishing;October 2012;679
Gross;A Agriculture, forestry and fishing;November 2012;636
Gross;A Agriculture, forestry and fishing;December 2012;669
Gross;A Agriculture, forestry and fishing;January 2013;664
Gross;A Agriculture, forestry and fishing;February 2013;620
Gross;A Agriculture, forestry and fishing;March 2013;642
Gross;A Agriculture, forestry and fishing;April 2013;673
Gross;A Agriculture, forestry and fishing;May 2013;685
Gross;A Agriculture, forestry and fishing;June 2013;651
Gross;A Agriculture, forestry and fishing;July 2013;717
Gross;A Agriculture, forestry and fishing;August 2013;684
Gross;A Agriculture, forestry and fishing;September 2013;646
Gross;A Agriculture, forestry and fishing;October 2013;716
Gross;A Agriculture, forestry and fishing;November 2013;662
Gross;A Agriculture, forestry and fishing;December 2013;708
Gross;A Agriculture, forestry and fishing;January 2014;750
Gross;A Agriculture, forestry and fishing;February 2014;675
Gross;A Agriculture, forestry and fishing;March 2014;702
Gross;A Agriculture, forestry and fishing;April 2014;755
Gross;A Agriculture, forestry and fishing;May 2014;712
Gross;A Agriculture, forestry and fishing;June 2014;697
Gross;A Agriculture, forestry and fishing;July 2014;783
Gross;A Agriculture, forestry and fishing;August 2014;733
Gross;A Agriculture, forestry and fishing;September 2014;738
Gross;A Agriculture, forestry and fishing;October 2014;806
Gross;A Agriculture, forestry and fishing;November 2014;709
Gross;A Agriculture, forestry and fishing;December 2014;721
Gross;A Agriculture, forestry and fishing;January 2015;764
Gross;A Agriculture, forestry and fishing;February 2015;706
Gross;A Agriculture, forestry and fishing;March 2015;740
Gross;A Agriculture, forestry and fishing;April 2015;762
Gross;A Agriculture, forestry and fishing;May 2015;731
Gross;A Agriculture, forestry and fishing;June 2015;731
Gross;A Agriculture, forestry and fishing;July 2015;809
Gross;A Agriculture, forestry and fishing;August 2015;790
Gross;A Agriculture, forestry and fishing;September 2015;781
Gross;A Agriculture, forestry and fishing;October 2015;824
Gross;A Agriculture, forestry and fishing;November 2015;749
Gross;A Agriculture, forestry and fishing;December 2015;835
Gross;A Agriculture, forestry and fishing;January 2016;831
Gross;A Agriculture, forestry and fishing;February 2016;763
Gross;A Agriculture, forestry and fishing;March 2016;792
Gross;A Agriculture, forestry and fishing;April 2016;765
Gross;A Agriculture, forestry and fishing;May 2016;807
Gross;A Agriculture, forestry and fishing;June 2016;811
Gross;A Agriculture, forestry and fishing;July 2016;813
Gross;A Agriculture, forestry and fishing;August 2016;899
Gross;A Agriculture, forestry and fishing;September 2016;835
Gross;A Agriculture, forestry and fishing;October 2016;797
Gross;A Agriculture, forestry and fishing;November 2016;859
Gross;A Agriculture, forestry and fishing;December 2016;861
Gross;A Agriculture, forestry and fishing;January 2017;830
Gross;A Agriculture, forestry and fishing;February 2017;883
Gross;A Agriculture, forestry and fishing;March 2017;843
Gross;A Agriculture, forestry and fishing;April 2017;818
Gross;A Agriculture, forestry and fishing;May 2017;900
Gross;A Agriculture, forestry and fishing;June 2017;898
Gross;A Agriculture, forestry and fishing;July 2017;871
Gross;A Agriculture, forestry and fishing;August 2017;972
Gross;A Agriculture, forestry and fishing;September 2017;889
Gross;A Agriculture, forestry and fishing;October 2017;888
Gross;A Agriculture, forestry and fishing;November 2017;968
Gross;A Agriculture, forestry and fishing;December 2017;940
Gross;A Agriculture, forestry and fishing;January 2018;954
Gross;A Agriculture, forestry and fishing;February 2018;953
Gross;A Agriculture, forestry and fishing;March 2018;929
Gross;A Agriculture, forestry and fishing;April 2018;920
Gross;A Agriculture, forestry and fishing;May 2018;1003
Gross;A Agriculture, forestry and fishing;June 2018;983
Gross;A Agriculture, forestry and fishing;July 2018;973
Gross;A Agriculture, forestry and fishing;August 2018;1031
Gross;A Agriculture, forestry and fishing;September 2018;970
Gross;A Agriculture, forestry and fishing;October 2018;988
Gross;A Agriculture, forestry and fishing;November 2018;1060
Gross;A Agriculture, forestry and fishing;December 2018;1016
Gross;A Agriculture, forestry and fishing;January 2019;1004
Gross;A Agriculture, forestry and fishing;February 2019;1024
Gross;A Agriculture, forestry and fishing;March 2019;983
Gross;A Agriculture, forestry and fishing;April 2019;1003
Gross;A Agriculture, forestry and fishing;May 2019;1048
Gross;A Agriculture, forestry and fishing;June 2019;1058
Gross;A Agriculture, forestry and fishing;July 2019;1018
Gross;A Agriculture, forestry and fishing;August 2019;1094
Gross;A Agriculture, forestry and fishing;September 2019;1004
Gross;A Agriculture, forestry and fishing;October 2019;1043
Gross;A Agriculture, forestry and fishing;November 2019;1086
Gross;A Agriculture, forestry and fishing;December 2019;1058
Gross;A Agriculture, forestry and fishing;January 2020;1047
Gross;A Agriculture, forestry and fishing;February 2020;1071
Gross;A Agriculture, forestry and fishing;March 2020;1057
Gross;A Agriculture, forestry and fishing;April 2020;1031
Gross;A Agriculture, forestry and fishing;May 2020;1044
Gross;A Agriculture, forestry and fishing;June 2020;1091
Gross;A Agriculture, forestry and fishing;July 2020;1071
Gross;A Agriculture, forestry and fishing;August 2020;1121
Gross;A Agriculture, forestry and fishing;September 2020;1083
Gross;A Agriculture, forestry and fishing;October 2020;1106
Gross;A Agriculture, forestry and fishing;November 2020;1140
Gross;A Agriculture, forestry and fishing;December 2020;1117
Gross;A Agriculture, forestry and fishing;January 2021;1117
Gross;A Agriculture, forestry and fishing;February 2021;1179
Gross;A Agriculture, forestry and fishing;March 2021;1140
Gross;A Agriculture, forestry and fishing;April 2021;1098
Gross;A Agriculture, forestry and fishing;May 2021;1145
Gross;A Agriculture, forestry and fishing;June 2021;1130
Gross;A Agriculture, forestry and fishing;July 2021;1225
Gross;A Agriculture, forestry and fishing;August 2021;1257
Gross;A Agriculture, forestry and fishing;September 2021;1193
Gross;A Agriculture, forestry and fishing;October 2021;1170
Gross;A Agriculture, forestry and fishing;November 2021;1234
Gross;A Agriculture, forestry and fishing;December 2021;1235
Gross;A Agriculture, forestry and fishing;January 2022;1158
Gross;A Agriculture, forestry and fishing;February 2022;1232
Gross;A Agriculture, forestry and fishing;March 2022;1257
Gross;A Agriculture, forestry and fishing;April 2022;1256
Gross;A Agriculture, forestry and fishing;May 2022;1301
Gross;A Agriculture, forestry and fishing;June 2022;1318
Gross;A Agriculture, forestry and fishing;July 2022;1257
Gross;A Agriculture, forestry and fishing;August 2022;1406
Gross;A Agriculture, forestry and fishing;September 2022;1352
Gross;A Agriculture, forestry and fishing;October 2022;1332
Gross;A Agriculture, forestry and fishing;November 2022;1410
Gross;A Agriculture, forestry and fishing;December 2022;1401
Gross;A Agriculture, forestry and fishing;January 2023;1459
Gross;A Agriculture, forestry and fishing;February 2023;1496
Gross;A Agriculture, forestry and fishing;March 2023;1507
Gross;A Agriculture, forestry and fishing;April 2023;1505
Gross;A Agriculture, forestry and fishing;May 2023;1607
Gross;A Agriculture, forestry and fishing;June 2023;1547
Gross;A Agriculture, forestry and fishing;July 2023;1480
Gross;A Agriculture, forestry and fishing;August 2023;1616
Gross;A Agriculture, forestry and fishing;September 2023;1588
Gross;A Agriculture, forestry and fishing;October 2023;1511
Gross;A Agriculture, forestry and fishing;November 2023;1611
Gross;A Agriculture, forestry and fishing;December 2023;1607
Gross;A Agriculture, forestry and fishing;January 2024;1509
Gross;A Agriculture, forestry and fishing;February 2024;1611
Gross;A Agriculture, forestry and fishing;March 2024;1570
Gross;A Agriculture, forestry and fishing;April 2024;1604
Gross;A Agriculture, forestry and fishing;May 2024;1631
Gross;A Agriculture, forestry and fishing;June 2024;1597
Gross;A Agriculture, forestry and fishing;July 2024;1642
Gross;A Agriculture, forestry and fishing;August 2024;1751
Gross;A Agriculture, forestry and fishing;September 2024;1659
Gross;A Agriculture, forestry and fishing;October 2024;1671
Gross;A Agriculture, forestry and fishing;November 2024;1686
Gross;A Agriculture, forestry and fishing;December 2024;1653
Gross;A01 Crop and animal production, hunting and related service activities;January 2005;218
Gross;A01 Crop and animal production, hunting and related service activities;February 2005;211
Gross;A01 Crop and animal production, hunting and related service activities;March 2005;230
Gross;A01 Crop and animal production, hunting and related service activities;April 2005;239
Gross;A01 Crop and animal production, hunting and related service activities;May 2005;250
Gross;A01 Crop and animal production, hunting and related service activities;June 2005;255
Gross;A01 Crop and animal production, hunting and related service activities;July 2005;265
Gross;A01 Crop and animal production, hunting and related service activities;August 2005;282
Gross;A01 Crop and animal production, hunting and related service activities;September 2005;274
Gross;A01 Crop and animal production, hunting and related service activities;October 2005;269
Gross;A01 Crop and animal production, hunting and related service activities;November 2005;274
Gross;A01 Crop and animal production, hunting and related service activities;December 2005;316
Gross;A01 Crop and animal production, hunting and related service activities;January 2006;263
Gross;A01 Crop and animal production, hunting and related service activities;February 2006;259
Gross;A01 Crop and animal production, hunting and related service activities;March 2006;279
Gross;A01 Crop and animal production, hunting and related service activities;April 2006;283
Gross;A01 Crop and animal production, hunting and related service activities;May 2006;305
Gross;A01 Crop and animal production, hunting and related service activities;June 2006;312
Gross;A01 Crop and animal production, hunting and related service activities;July 2006;313
Gross;A01 Crop and animal production, hunting and related service activities;August 2006;334
Gross;A01 Crop and animal production, hunting and related service activities;September 2006;321
Gross;A01 Crop and animal production, hunting and related service activities;October 2006;332
Gross;A01 Crop and animal production, hunting and related service activities;November 2006;330
Gross;A01 Crop and animal production, hunting and related service activities;December 2006;393
Gross;A01 Crop and animal production, hunting and related service activities;January 2007;346
Gross;A01 Crop and animal production, hunting and related service activities;February 2007;340
Gross;A01 Crop and animal production, hunting and related service activities;March 2007;371
Gross;A01 Crop and animal production, hunting and related service activities;April 2007;379
Gross;A01 Crop and animal production, hunting and related service activities;May 2007;404
Gross;A01 Crop and animal production, hunting and related service activities;June 2007;424
Gross;A01 Crop and animal production, hunting and related service activities;July 2007;417
Gross;A01 Crop and animal production, hunting and related service activities;August 2007;461
Gross;A01 Crop and animal production, hunting and related service activities;September 2007;431
Gross;A01 Crop and animal production, hunting and related service activities;October 2007;438
Gross;A01 Crop and animal production, hunting and related service activities;November 2007;453
Gross;A01 Crop and animal production, hunting and related service activities;December 2007;470
Gross;A01 Crop and animal production, hunting and related service activities;January 2008;463
Gross;A01 Crop and animal production, hunting and related service activities;February 2008;460
Gross;A01 Crop and animal production, hunting and related service activities;March 2008;465
Gross;A01 Crop and animal production, hunting and related service activities;April 2008;498
Gross;A01 Crop and animal production, hunting and related service activities;May 2008;515
Gross;A01 Crop and animal production, hunting and related service activities;June 2008;506
Gross;A01 Crop and animal production, hunting and related service activities;July 2008;532
Gross;A01 Crop and animal production, hunting and related service activities;August 2008;538
Gross;A01 Crop and animal production, hunting and related service activities;September 2008;561
Gross;A01 Crop and animal production, hunting and related service activities;October 2008;515
Gross;A01 Crop and animal production, hunting and related service activities;November 2008;493
Gross;A01 Crop and animal production, hunting and related service activities;December 2008;571
Gross;A01 Crop and animal production, hunting and related service activities;January 2009;466
Gross;A01 Crop and animal production, hunting and related service activities;February 2009;449
Gross;A01 Crop and animal production, hunting and related service activities;March 2009;460
Gross;A01 Crop and animal production, hunting and related service activities;April 2009;475
Gross;A01 Crop and animal production, hunting and related service activities;May 2009;474
Gross;A01 Crop and animal production, hunting and related service activities;June 2009;485
Gross;A01 Crop and animal production, hunting and related service activities;July 2009;495
Gross;A01 Crop and animal production, hunting and related service activities;August 2009;513
Gross;A01 Crop and animal production, hunting and related service activities;September 2009;497
Gross;A01 Crop and animal production, hunting and related service activities;October 2009;465
Gross;A01 Crop and animal production, hunting and related service activities;November 2009;461
Gross;A01 Crop and animal production, hunting and related service activities;December 2009;497
Gross;A01 Crop and animal production, hunting and related service activities;January 2010;452
Gross;A01 Crop and animal production, hunting and related service activities;February 2010;442
Gross;A01 Crop and animal production, hunting and related service activities;March 2010;470
Gross;A01 Crop and animal production, hunting and related service activities;April 2010;474
Gross;A01 Crop and animal production, hunting and related service activities;May 2010;492
Gross;A01 Crop and animal production, hunting and related service activities;June 2010;496
Gross;A01 Crop and animal production, hunting and related service activities;July 2010;503
Gross;A01 Crop and animal production, hunting and related service activities;August 2010;547
Gross;A01 Crop and animal production, hunting and related service activities;September 2010;517
Gross;A01 Crop and animal production, hunting and related service activities;October 2010;478
Gross;A01 Crop and animal production, hunting and related service activities;November 2010;490
Gross;A01 Crop and animal production, hunting and related service activities;December 2010;524
Gross;A01 Crop and animal production, hunting and related service activities;January 2011;490
