Indicator;Economic activity;Year;Number of Employees
Employees (Domestic concept);M Professional, scientific and technical activities;2000;N/A
Employees (Domestic concept);N Administrative and support service activities;2000;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2000;223821.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2000;198755.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2000;N/A
Employees (Domestic concept);P Education;2000;N/A
Employees (Domestic concept);Q Human health and social work activities;2000;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2000;25066.0
Employees (Domestic concept);R Arts, entertainment and recreation;2000;N/A
Employees (Domestic concept);S Other service activities;2000;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2000;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2000;141141.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2000;85085.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2000;5814.0
Self-employed (Domestic concept);B Mining and quarrying;2000;N/A
Self-employed (Domestic concept);C Manufacturing;2000;4973.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2000;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2000;N/A
Self-employed (Domestic concept);F Construction;2000;6188.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2000;18588.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2000;17111.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2000;N/A
Self-employed (Domestic concept);H Transportation and storage;2000;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2000;N/A
Self-employed (Domestic concept);J Information and communication;2000;1477.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2000;9703.0
Self-employed (Domestic concept);K Financial and insurance activities;2000;178.0
Self-employed (Domestic concept);L Real estate activities;2000;837.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2000;8688.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2000;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2000;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2000;15762.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2000;3680.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2000;N/A
Self-employed (Domestic concept);P Education;2000;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2000;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2000;12082.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2000;N/A
Self-employed (Domestic concept);S Other service activities;2000;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2000;N/A
Total employment (Domestic concept);TOTAL TOTAL;2001;938697.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2001;141504.0
Total employment (Domestic concept);B_C_D_E Industry - total;2001;180167.0
Total employment (Domestic concept);B Mining and quarrying;2001;N/A
Total employment (Domestic concept);C Manufacturing;2001;153664.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2001;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2001;N/A
Total employment (Domestic concept);F Construction;2001;64858.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2001;250619.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2001;228554.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2001;N/A
Total employment (Domestic concept);H Transportation and storage;2001;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2001;N/A
Total employment (Domestic concept);J Information and communication;2001;22066.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2001;68300.0
Total employment (Domestic concept);K Financial and insurance activities;2001;15102.0
Total employment (Domestic concept);L Real estate activities;2001;15894.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2001;37305.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2001;N/A
Total employment (Domestic concept);N Administrative and support service activities;2001;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2001;233249.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2001;196453.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2001;N/A
Total employment (Domestic concept);P Education;2001;N/A
Total employment (Domestic concept);Q Human health and social work activities;2001;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2001;36796.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2001;N/A
Total employment (Domestic concept);S Other service activities;2001;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2001;N/A
Employees (Domestic concept);TOTAL TOTAL;2001;795056.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2001;57107.0
Employees (Domestic concept);B_C_D_E Industry - total;2001;173160.0
Employees (Domestic concept);B Mining and quarrying;2001;N/A
Employees (Domestic concept);C Manufacturing;2001;147756.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2001;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2001;N/A
Employees (Domestic concept);F Construction;2001;55974.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2001;230966.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2001;210267.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2001;N/A
Employees (Domestic concept);H Transportation and storage;2001;N/A
Employees (Domestic concept);I Accommodation and food service activities;2001;N/A
Employees (Domestic concept);J Information and communication;2001;20699.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2001;60441.0
Employees (Domestic concept);K Financial and insurance activities;2001;14777.0
Employees (Domestic concept);L Real estate activities;2001;15211.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2001;30453.0
Employees (Domestic concept);M Professional, scientific and technical activities;2001;N/A
Employees (Domestic concept);N Administrative and support service activities;2001;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2001;217408.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2001;193080.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2001;N/A
Employees (Domestic concept);P Education;2001;N/A
Employees (Domestic concept);Q Human health and social work activities;2001;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2001;24328.0
Employees (Domestic concept);R Arts, entertainment and recreation;2001;N/A
Employees (Domestic concept);S Other service activities;2001;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2001;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2001;143641.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2001;84397.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2001;7007.0
Self-employed (Domestic concept);B Mining and quarrying;2001;N/A
Self-employed (Domestic concept);C Manufacturing;2001;5908.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2001;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2001;N/A
Self-employed (Domestic concept);F Construction;2001;8884.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2001;19653.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2001;18287.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2001;N/A
Self-employed (Domestic concept);H Transportation and storage;2001;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2001;N/A
Self-employed (Domestic concept);J Information and communication;2001;1367.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2001;7859.0
Self-employed (Domestic concept);K Financial and insurance activities;2001;325.0
Self-employed (Domestic concept);L Real estate activities;2001;683.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2001;6852.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2001;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2001;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2001;15841.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2001;3373.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2001;N/A
Self-employed (Domestic concept);P Education;2001;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2001;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2001;12468.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2001;N/A
Self-employed (Domestic concept);S Other service activities;2001;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2001;N/A
Total employment (Domestic concept);TOTAL TOTAL;2002;952321.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2002;141150.0
Total employment (Domestic concept);B_C_D_E Industry - total;2002;184414.0
Total employment (Domestic concept);B Mining and quarrying;2002;N/A
Total employment (Domestic concept);C Manufacturing;2002;159673.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2002;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2002;N/A
Total employment (Domestic concept);F Construction;2002;58291.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2002;262822.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2002;238908.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2002;N/A
Total employment (Domestic concept);H Transportation and storage;2002;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2002;N/A
Total employment (Domestic concept);J Information and communication;2002;23913.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2002;72594.0
Total employment (Domestic concept);K Financial and insurance activities;2002;15447.0
Total employment (Domestic concept);L Real estate activities;2002;16986.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2002;40161.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2002;N/A
Total employment (Domestic concept);N Administrative and support service activities;2002;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2002;233050.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2002;193498.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2002;N/A
Total employment (Domestic concept);P Education;2002;N/A
Total employment (Domestic concept);Q Human health and social work activities;2002;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2002;39552.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2002;N/A
Total employment (Domestic concept);S Other service activities;2002;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2002;N/A
Employees (Domestic concept);TOTAL TOTAL;2002;814863.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2002;58142.0
Employees (Domestic concept);B_C_D_E Industry - total;2002;177678.0
Employees (Domestic concept);B Mining and quarrying;2002;N/A
Employees (Domestic concept);C Manufacturing;2002;154075.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2002;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2002;N/A
Employees (Domestic concept);F Construction;2002;53233.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2002;244433.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2002;222037.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2002;N/A
Employees (Domestic concept);H Transportation and storage;2002;N/A
Employees (Domestic concept);I Accommodation and food service activities;2002;N/A
Employees (Domestic concept);J Information and communication;2002;22396.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2002;64614.0
Employees (Domestic concept);K Financial and insurance activities;2002;15212.0
Employees (Domestic concept);L Real estate activities;2002;16230.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2002;33172.0
Employees (Domestic concept);M Professional, scientific and technical activities;2002;N/A
Employees (Domestic concept);N Administrative and support service activities;2002;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2002;216763.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2002;189367.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2002;N/A
Employees (Domestic concept);P Education;2002;N/A
Employees (Domestic concept);Q Human health and social work activities;2002;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2002;27396.0
Employees (Domestic concept);R Arts, entertainment and recreation;2002;N/A
Employees (Domestic concept);S Other service activities;2002;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2002;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2002;137458.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2002;83008.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2002;6736.0
Self-employed (Domestic concept);B Mining and quarrying;2002;N/A
Self-employed (Domestic concept);C Manufacturing;2002;5598.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2002;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2002;N/A
Self-employed (Domestic concept);F Construction;2002;5058.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2002;18389.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2002;16871.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2002;N/A
Self-employed (Domestic concept);H Transportation and storage;2002;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2002;N/A
Self-employed (Domestic concept);J Information and communication;2002;1517.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2002;7980.0
Self-employed (Domestic concept);K Financial and insurance activities;2002;235.0
Self-employed (Domestic concept);L Real estate activities;2002;756.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2002;6989.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2002;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2002;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2002;16287.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2002;4131.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2002;N/A
Self-employed (Domestic concept);P Education;2002;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2002;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2002;12156.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2002;N/A
Self-employed (Domestic concept);S Other service activities;2002;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2002;N/A
Total employment (Domestic concept);TOTAL TOTAL;2003;958281.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2003;124871.0
Total employment (Domestic concept);B_C_D_E Industry - total;2003;188392.0
Total employment (Domestic concept);B Mining and quarrying;2003;N/A
Total employment (Domestic concept);C Manufacturing;2003;163378.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2003;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2003;N/A
Total employment (Domestic concept);F Construction;2003;64350.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2003;268593.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2003;244363.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2003;N/A
Total employment (Domestic concept);H Transportation and storage;2003;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2003;N/A
Total employment (Domestic concept);J Information and communication;2003;24230.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2003;75860.0
Total employment (Domestic concept);K Financial and insurance activities;2003;16112.0
Total employment (Domestic concept);L Real estate activities;2003;18140.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2003;41608.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2003;N/A
Total employment (Domestic concept);N Administrative and support service activities;2003;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2003;236214.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2003;195034.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2003;N/A
Total employment (Domestic concept);P Education;2003;N/A
Total employment (Domestic concept);Q Human health and social work activities;2003;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2003;41180.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2003;N/A
Total employment (Domestic concept);S Other service activities;2003;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2003;N/A
Employees (Domestic concept);TOTAL TOTAL;2003;829815.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2003;55490.0
Employees (Domestic concept);B_C_D_E Industry - total;2003;181452.0
Employees (Domestic concept);B Mining and quarrying;2003;N/A
Employees (Domestic concept);C Manufacturing;2003;157881.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2003;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2003;N/A
Employees (Domestic concept);F Construction;2003;57824.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2003;249722.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2003;227453.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2003;N/A
Employees (Domestic concept);H Transportation and storage;2003;N/A
Employees (Domestic concept);I Accommodation and food service activities;2003;N/A
Employees (Domestic concept);J Information and communication;2003;22269.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2003;67938.0
Employees (Domestic concept);K Financial and insurance activities;2003;15889.0
Employees (Domestic concept);L Real estate activities;2003;17223.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2003;34826.0
Employees (Domestic concept);M Professional, scientific and technical activities;2003;N/A
Employees (Domestic concept);N Administrative and support service activities;2003;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2003;217389.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2003;189833.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2003;N/A
Employees (Domestic concept);P Education;2003;N/A
Employees (Domestic concept);Q Human health and social work activities;2003;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2003;27556.0
Employees (Domestic concept);R Arts, entertainment and recreation;2003;N/A
Employees (Domestic concept);S Other service activities;2003;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2003;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2003;128466.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2003;69381.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2003;6940.0
Self-employed (Domestic concept);B Mining and quarrying;2003;N/A
Self-employed (Domestic concept);C Manufacturing;2003;5497.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2003;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2003;N/A
Self-employed (Domestic concept);F Construction;2003;6526.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2003;18871.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2003;16910.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2003;N/A
Self-employed (Domestic concept);H Transportation and storage;2003;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2003;N/A
Self-employed (Domestic concept);J Information and communication;2003;1961.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2003;7922.0
Self-employed (Domestic concept);K Financial and insurance activities;2003;223.0
Self-employed (Domestic concept);L Real estate activities;2003;917.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2003;6782.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2003;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2003;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2003;18825.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2003;5201.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2003;N/A
Self-employed (Domestic concept);P Education;2003;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2003;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2003;13624.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2003;N/A
Self-employed (Domestic concept);S Other service activities;2003;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2003;N/A
Total employment (Domestic concept);TOTAL TOTAL;2004;960619.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2004;103444.0
Total employment (Domestic concept);B_C_D_E Industry - total;2004;184691.0
Total employment (Domestic concept);B Mining and quarrying;2004;N/A
